*************************************
*************************************
*************************************
*** Start Sub-Experiment 0 **********
*************************************
*************************************
*************************************

RUNNING 800 EPISODES

global_epsilon: 0.270922673001, episode_epsilon: 0.513158118231
global_epsilon: 0.27065202098, episode_epsilon: 0.909090909091
global_epsilon: 0.27038163934, episode_epsilon: 0.826446280992
global_epsilon: 0.270111527813, episode_epsilon: 0.751314800902
global_epsilon: 0.269841686126, episode_epsilon: 0.683013455365
global_epsilon: 0.269572114012, episode_epsilon: 0.620921323059
global_epsilon: 0.269302811201, episode_epsilon: 0.564473930054
global_epsilon: 0.269033777424, episode_epsilon: 0.513158118231
global_epsilon: 0.268765012411, episode_epsilon: 0.46650738021
global_epsilon: 0.268496515895, episode_epsilon: 0.424097618372
global_epsilon: 0.268228287608, episode_epsilon: 0.38554328943
global_epsilon: 0.267960327281, episode_epsilon: 0.350493899481
global_epsilon: 0.267692634646, episode_epsilon: 0.31863081771
global_epsilon: 0.267425209436, episode_epsilon: 0.289664379737
global_epsilon: 0.267158051385, episode_epsilon: 0.267158051385
global_epsilon: 0.266891160225, episode_epsilon: 0.266891160225
global_epsilon: 0.266624535689, episode_epsilon: 0.909090909091
global_epsilon: 0.266358177512, episode_epsilon: 0.826446280992
global_epsilon: 0.266092085426, episode_epsilon: 0.751314800902
global_epsilon: 0.265826259167, episode_epsilon: 0.683013455365
global_epsilon: 0.265560698469, episode_epsilon: 0.620921323059
global_epsilon: 0.265295403066, episode_epsilon: 0.564473930054
global_epsilon: 0.265030372693, episode_epsilon: 0.513158118231
global_epsilon: 0.264765607086, episode_epsilon: 0.46650738021
global_epsilon: 0.26450110598, episode_epsilon: 0.424097618372
global_epsilon: 0.264236869111, episode_epsilon: 0.38554328943
global_epsilon: 0.263972896214, episode_epsilon: 0.350493899481
global_epsilon: 0.263709187027, episode_epsilon: 0.31863081771
global_epsilon: 0.263445741286, episode_epsilon: 0.909090909091
global_epsilon: 0.263182558727, episode_epsilon: 0.826446280992
global_epsilon: 0.262919639088, episode_epsilon: 0.751314800902
global_epsilon: 0.262656982106, episode_epsilon: 0.683013455365
global_epsilon: 0.262394587519, episode_epsilon: 0.620921323059
global_epsilon: 0.262132455064, episode_epsilon: 0.564473930054
global_epsilon: 0.261870584479, episode_epsilon: 0.513158118231
global_epsilon: 0.261608975504, episode_epsilon: 0.46650738021
global_epsilon: 0.261347627876, episode_epsilon: 0.424097618372
global_epsilon: 0.261086541334, episode_epsilon: 0.38554328943
global_epsilon: 0.260825715619, episode_epsilon: 0.350493899481
global_epsilon: 0.260565150468, episode_epsilon: 0.31863081771
global_epsilon: 0.260304845623, episode_epsilon: 0.289664379737
global_epsilon: 0.260044800822, episode_epsilon: 0.263331254306
global_epsilon: 0.259785015806, episode_epsilon: 0.259785015806
global_epsilon: 0.259525490316, episode_epsilon: 0.259525490316
global_epsilon: 0.259266224092, episode_epsilon: 0.259266224092
global_epsilon: 0.259007216875, episode_epsilon: 0.259007216875
global_epsilon: 0.258748468406, episode_epsilon: 0.909090909091
global_epsilon: 0.258489978428, episode_epsilon: 0.826446280992
global_epsilon: 0.258231746681, episode_epsilon: 0.751314800902
global_epsilon: 0.257973772908, episode_epsilon: 0.683013455365
global_epsilon: 0.257716056852, episode_epsilon: 0.620921323059
global_epsilon: 0.257458598253, episode_epsilon: 0.564473930054
global_epsilon: 0.257201396856, episode_epsilon: 0.513158118231
global_epsilon: 0.256944452404, episode_epsilon: 0.46650738021
global_epsilon: 0.256687764639, episode_epsilon: 0.424097618372
global_epsilon: 0.256431333306, episode_epsilon: 0.38554328943
global_epsilon: 0.256175158148, episode_epsilon: 0.909090909091
global_epsilon: 0.255919238909, episode_epsilon: 0.826446280992
global_epsilon: 0.255663575334, episode_epsilon: 0.751314800902
global_epsilon: 0.255408167167, episode_epsilon: 0.683013455365
global_epsilon: 0.255153014152, episode_epsilon: 0.909090909091
global_epsilon: 0.254898116036, episode_epsilon: 0.826446280992
global_epsilon: 0.254643472564, episode_epsilon: 0.751314800902
global_epsilon: 0.25438908348, episode_epsilon: 0.683013455365
global_epsilon: 0.254134948532, episode_epsilon: 0.620921323059
global_epsilon: 0.253881067464, episode_epsilon: 0.564473930054
global_epsilon: 0.253627440024, episode_epsilon: 0.513158118231
global_epsilon: 0.253374065958, episode_epsilon: 0.46650738021
global_epsilon: 0.253120945013, episode_epsilon: 0.424097618372
global_epsilon: 0.252868076936, episode_epsilon: 0.38554328943
global_epsilon: 0.252615461475, episode_epsilon: 0.350493899481
global_epsilon: 0.252363098377, episode_epsilon: 0.31863081771
global_epsilon: 0.252110987389, episode_epsilon: 0.909090909091
global_epsilon: 0.251859128261, episode_epsilon: 0.826446280992
global_epsilon: 0.25160752074, episode_epsilon: 0.909090909091
global_epsilon: 0.251356164576, episode_epsilon: 0.826446280992
global_epsilon: 0.251105059516, episode_epsilon: 0.751314800902
global_epsilon: 0.250854205311, episode_epsilon: 0.683013455365
global_epsilon: 0.250603601709, episode_epsilon: 0.620921323059
global_epsilon: 0.250353248461, episode_epsilon: 0.909090909091
global_epsilon: 0.250103145315, episode_epsilon: 0.826446280992
global_epsilon: 0.249853292023, episode_epsilon: 0.751314800902
global_epsilon: 0.249603688335, episode_epsilon: 0.683013455365
global_epsilon: 0.249354334001, episode_epsilon: 0.620921323059
global_epsilon: 0.249105228772, episode_epsilon: 0.564473930054
global_epsilon: 0.2488563724, episode_epsilon: 0.513158118231
global_epsilon: 0.248607764635, episode_epsilon: 0.46650738021
global_epsilon: 0.24835940523, episode_epsilon: 0.424097618372
global_epsilon: 0.248111293936, episode_epsilon: 0.38554328943
global_epsilon: 0.247863430505, episode_epsilon: 0.350493899481
global_epsilon: 0.247615814691, episode_epsilon: 0.31863081771
global_epsilon: 0.247368446244, episode_epsilon: 0.289664379737
global_epsilon: 0.24712132492, episode_epsilon: 0.263331254306
global_epsilon: 0.246874450469, episode_epsilon: 0.246874450469
global_epsilon: 0.246627822646, episode_epsilon: 0.246627822646
global_epsilon: 0.246381441205, episode_epsilon: 0.909090909091
global_epsilon: 0.246135305899, episode_epsilon: 0.826446280992
global_epsilon: 0.245889416483, episode_epsilon: 0.751314800902
global_epsilon: 0.24564377271, episode_epsilon: 0.683013455365
global_epsilon: 0.245398374336, episode_epsilon: 0.620921323059
global_epsilon: 0.245153221115, episode_epsilon: 0.564473930054
global_epsilon: 0.244908312802, episode_epsilon: 0.513158118231
global_epsilon: 0.244663649153, episode_epsilon: 0.46650738021
global_epsilon: 0.244419229923, episode_epsilon: 0.424097618372
global_epsilon: 0.244175054868, episode_epsilon: 0.38554328943
global_epsilon: 0.243931123744, episode_epsilon: 0.909090909091
global_epsilon: 0.243687436308, episode_epsilon: 0.826446280992
global_epsilon: 0.243443992316, episode_epsilon: 0.751314800902
global_epsilon: 0.243200791524, episode_epsilon: 0.683013455365
global_epsilon: 0.24295783369, episode_epsilon: 0.620921323059
global_epsilon: 0.242715118572, episode_epsilon: 0.564473930054
global_epsilon: 0.242472645926, episode_epsilon: 0.513158118231
global_epsilon: 0.24223041551, episode_epsilon: 0.46650738021
global_epsilon: 0.241988427083, episode_epsilon: 0.424097618372
global_epsilon: 0.241746680403, episode_epsilon: 0.38554328943
global_epsilon: 0.241505175228, episode_epsilon: 0.350493899481
global_epsilon: 0.241263911316, episode_epsilon: 0.909090909091
global_epsilon: 0.241022888428, episode_epsilon: 0.826446280992
global_epsilon: 0.240782106322, episode_epsilon: 0.751314800902
global_epsilon: 0.240541564757, episode_epsilon: 0.683013455365
global_epsilon: 0.240301263493, episode_epsilon: 0.620921323059
global_epsilon: 0.240061202291, episode_epsilon: 0.564473930054
global_epsilon: 0.23982138091, episode_epsilon: 0.513158118231
global_epsilon: 0.239581799111, episode_epsilon: 0.46650738021
global_epsilon: 0.239342456654, episode_epsilon: 0.424097618372
global_epsilon: 0.239103353301, episode_epsilon: 0.38554328943
global_epsilon: 0.238864488812, episode_epsilon: 0.350493899481
global_epsilon: 0.238625862949, episode_epsilon: 0.31863081771
global_epsilon: 0.238387475474, episode_epsilon: 0.289664379737
global_epsilon: 0.238149326148, episode_epsilon: 0.263331254306
global_epsilon: 0.237911414733, episode_epsilon: 0.909090909091
global_epsilon: 0.237673740992, episode_epsilon: 0.826446280992
global_epsilon: 0.237436304687, episode_epsilon: 0.751314800902
global_epsilon: 0.237199105582, episode_epsilon: 0.683013455365
global_epsilon: 0.236962143438, episode_epsilon: 0.620921323059
global_epsilon: 0.23672541802, episode_epsilon: 0.564473930054
global_epsilon: 0.236488929091, episode_epsilon: 0.909090909091
global_epsilon: 0.236252676415, episode_epsilon: 0.826446280992
global_epsilon: 0.236016659755, episode_epsilon: 0.909090909091
global_epsilon: 0.235780878876, episode_epsilon: 0.826446280992
global_epsilon: 0.235545333543, episode_epsilon: 0.751314800902
global_epsilon: 0.235310023519, episode_epsilon: 0.683013455365
global_epsilon: 0.23507494857, episode_epsilon: 0.620921323059
global_epsilon: 0.234840108462, episode_epsilon: 0.564473930054
global_epsilon: 0.234605502959, episode_epsilon: 0.513158118231
global_epsilon: 0.234371131827, episode_epsilon: 0.46650738021
global_epsilon: 0.234136994832, episode_epsilon: 0.424097618372
global_epsilon: 0.233903091741, episode_epsilon: 0.38554328943
